; Spamhaus DROP List 20/09/13 - (c) 2013 The Spamhaus Project
; http://www.spamhaus.org/drop/drop.txt
; Last-Modified: Fri, 20 Sep 2013 10:29:03 GMT
; Expires: Fri, 20 Sep 2013 10:25:57 GMT
173.205.24.0/21 ; SBL173643
173.205.32.0/21 ; SBL173644
173.205.40.0/21 ; SBL173645
173.205.48.0/21 ; SBL173646
173.249.160.0/19 ; SBL106071
174.136.192.0/18 ; SBL99427
176.47.0.0/16 ; SBL154643
176.61.136.0/22 ; SBL194793
176.100.32.0/21 ; SBL195621
176.110.101.0/24 ; SBL184557
176.124.150.0/23 ; SBL195146
177.21.64.0/20 ; SBL195148
178.159.176.0/20 ; SBL110616
185.11.140.0/24 ; SBL179867
185.11.143.0/24 ; SBL179865
185.24.108.0/22 ; SBL183523
186.190.224.0/21 ; SBL126282
188.208.220.0/23 ; SBL195120
188.210.94.0/23 ; SBL195121
188.210.232.0/22 ; SBL195147
188.211.184.0/21 ; SBL195153
188.211.212.0/24 ; SBL195145
188.212.144.0/21 ; SBL195124
188.212.168.0/23 ; SBL195134
188.212.172.0/23 ; SBL195133
188.212.208.0/20 ; SBL195125
188.213.200.0/23 ; SBL195135
188.214.90.0/23 ; SBL195144
188.214.242.0/24 ; SBL195127
188.214.248.0/21 ; SBL195137
188.215.128.0/23 ; SBL195139
188.215.130.0/23 ; SBL195126
188.215.132.0/23 ; SBL195136
188.215.134.0/23 ; SBL195141
188.215.138.0/23 ; SBL195151
188.215.140.0/23 ; SBL195152
188.240.212.0/24 ; SBL195138
188.247.135.0/24 ; SBL117319
188.247.230.0/24 ; SBL122292
192.26.25.0/24 ; SBL84941
192.31.212.0/23 ; SBL84945
192.43.153.0/24 ; SBL69615
192.43.154.0/23 ; SBL69616
192.43.156.0/22 ; SBL69617
192.43.160.0/24 ; SBL69618
192.43.175.0/24 ; SBL84942
192.43.176.0/21 ; SBL84943
192.43.184.0/24 ; SBL84944
192.54.39.0/24 ; SBL184865
192.54.73.0/24 ; SBL184866
192.67.16.0/24 ; SBL6648
192.67.160.0/22 ; SBL172388
192.86.85.0/24 ; SBL69619
192.101.200.0/21 ; SBL97211
192.101.240.0/21 ; SBL97209
192.101.248.0/23 ; SBL97208
192.112.112.0/20 ; SBL97012
192.121.44.0/24 ; SBL194205
192.160.44.0/24 ; SBL9493
192.171.64.0/19 ; SBL106074
192.196.208.0/20 ; SBL187371
192.197.87.0/24 ; SBL103493
192.219.120.0/21 ; SBL103494
192.219.128.0/18 ; SBL103497
192.219.192.0/20 ; SBL103495
192.219.208.0/21 ; SBL103496
192.229.32.0/19 ; SBL106075
193.0.129.0/24 ; SBL179119
193.0.146.0/23 ; SBL149273
193.16.213.0/24 ; SBL107116
193.23.126.0/24 ; SBL96354
193.26.64.0/19 ; SBL191858
193.41.38.0/24 ; SBL95370
193.43.134.0/24 ; SBL89390
193.46.211.0/24 ; SBL89393
193.104.12.0/24 ; SBL90815
193.104.34.0/24 ; SBL93305
193.104.41.0/24 ; SBL82374
193.104.94.0/24 ; SBL85667
193.104.110.0/24 ; SBL82582
193.104.176.0/24 ; SBL86727
193.105.141.0/24 ; SBL87368
193.105.154.0/24 ; SBL89482
193.105.184.0/24 ; SBL87567
193.105.207.0/24 ; SBL90339
193.105.245.0/24 ; SBL90611
193.106.32.0/22 ; SBL94569
193.107.16.0/22 ; SBL180482
193.108.178.0/24 ; SBL168870
193.110.136.0/24 ; SBL3399
193.111.235.0/24 ; SBL105552
193.138.172.0/22 ; SBL185728
193.148.47.0/24 ; SBL89508
193.150.168.0/24 ; SBL183715
193.164.10.0/24 ; SBL185012
193.164.11.0/24 ; SBL185726
193.178.120.0/22 ; SBL165502
193.180.119.0/24 ; SBL194207
193.183.105.0/24 ; SBL194204
193.200.0.0/24 ; SBL182223
193.200.167.0/24 ; SBL149013
193.227.240.0/23 ; SBL67369
193.228.145.0/24 ; SBL59581
193.234.166.0/24 ; SBL194203
193.235.43.0/24 ; SBL194380
193.243.166.0/24 ; SBL123249
194.0.177.0/24 ; SBL183836
194.1.152.0/24 ; SBL182946
194.1.184.0/24 ; SBL148480
194.1.220.0/23 ; SBL98808
194.29.185.0/24 ; SBL134638
194.50.116.0/24 ; SBL148074
194.54.156.0/22 ; SBL90652
194.60.242.0/24 ; SBL150544
194.63.144.0/22 ; SBL98807
194.71.222.0/24 ; SBL194455
194.71.223.0/24 ; SBL194206
194.103.2.0/24 ; SBL194208
194.110.160.0/22 ; SBL60306
194.126.251.0/24 ; SBL90537
194.140.229.0/24 ; SBL92226
194.165.4.0/23 ; SBL74236
194.242.2.0/23 ; SBL115030
195.2.212.0/23 ; SBL71954
195.5.161.0/24 ; SBL87267
195.28.10.0/23 ; SBL107661
195.68.222.0/23 ; SBL194120
195.78.108.0/23 ; SBL87005
195.85.204.0/24 ; SBL102328
195.88.190.0/23 ; SBL79119
195.88.226.0/23 ; SBL77731
195.93.184.0/23 ; SBL83327
195.93.208.0/23 ; SBL80356
195.95.155.0/24 ; SBL84230
195.114.8.0/23 ; SBL48773
195.149.88.0/24 ; SBL96583
195.149.90.0/24 ; SBL144930
195.162.6.0/23 ; SBL72664
195.182.57.0/24 ; SBL88206
195.184.86.0/23 ; SBL118866
195.190.157.0/24 ; SBL100863
195.191.102.0/23 ; SBL100272
195.225.176.0/22 ; SBL47622
195.226.197.0/24 ; SBL97616
195.226.220.0/24 ; SBL97864
195.234.76.0/22 ; SBL179312
195.246.200.0/24 ; SBL152085
196.63.0.0/16 ; SBL187946
196.193.0.0/16 ; SBL182162
198.13.0.0/20 ; SBL97016
198.14.128.0/19 ; SBL179291
198.14.160.0/19 ; SBL179292
198.20.16.0/20 ; SBL107773
198.23.32.0/20 ; SBL101186
198.45.32.0/20 ; SBL110170
198.45.64.0/19 ; SBL177843
198.48.16.0/20 ; SBL156868
198.56.64.0/18 ; SBL178648
198.57.64.0/20 ; SBL101250
198.96.224.0/20 ; SBL110171
198.151.64.0/18 ; SBL156894
198.151.152.0/22 ; SBL23969
198.162.208.0/20 ; SBL97027
198.167.255.0/24 ; SBL184974
198.176.48.0/21 ; SBL175824
198.178.64.0/19 ; SBL178649
198.181.32.0/20 ; SBL180443
198.181.64.0/19 ; SBL106079
198.183.32.0/19 ; SBL96708
198.184.64.0/18 ; SBL179269
198.186.25.0/24 ; SBL23976
198.187.64.0/18 ; SBL179271
198.204.0.0/21 ; SBL8179
198.205.64.0/19 ; SBL106080
199.5.152.0/23 ; SBL96745
199.9.24.0/21 ; SBL73445
199.26.96.0/19 ; SBL156899
199.33.145.0/24 ; SBL103498
199.34.128.0/18 ; SBL96704
199.46.32.0/19 ; SBL96703
199.58.248.0/21 ; SBL104408
199.60.102.0/24 ; SBL9159
199.71.192.0/20 ; SBL147763
199.84.64.0/19 ; SBL96702
199.84.96.0/19 ; SBL173903
199.87.208.0/21 ; SBL197437
199.88.32.0/20 ; SBL109258
199.88.48.0/22 ; SBL109259
199.89.16.0/20 ; SBL156916
199.120.163.0/24 ; SBL6658
199.165.32.0/19 ; SBL97023
199.166.200.0/22 ; SBL6026
199.185.192.0/20 ; SBL156981
199.196.192.0/19 ; SBL106606
199.198.160.0/20 ; SBL96701
199.198.176.0/21 ; SBL109341
199.198.184.0/23 ; SBL109342
199.198.188.0/22 ; SBL109343
199.200.64.0/19 ; SBL107014
199.212.96.0/20 ; SBL156982
199.223.0.0/20 ; SBL180441
199.230.64.0/19 ; SBL97024
199.230.96.0/21 ; SBL97026
199.245.138.0/24 ; SBL9923
199.246.137.0/24 ; SBL113125
199.246.213.0/24 ; SBL113126
199.246.215.0/24 ; SBL103499
199.248.64.0/18 ; SBL103438
199.249.64.0/19 ; SBL179270
199.253.224.0/20 ; SBL180442
199.254.32.0/20 ; SBL156983
200.3.128.0/20 ; SBL107775
200.22.0.0/16 ; SBL84896
200.105.32.0/20 ; SBL139955
201.77.96.0/20 ; SBL121545
202.61.108.0/24 ; SBL98492
203.31.88.0/23 ; SBL8083
203.34.70.0/23 ; SBL9682
203.34.71.0/24 ; SBL7244
204.44.192.0/20 ; SBL116416
204.44.224.0/20 ; SBL110044
204.52.255.0/24 ; SBL13483
204.57.16.0/20 ; SBL116417
204.86.16.0/20 ; SBL181088
204.89.224.0/24 ; SBL11667
204.106.128.0/18 ; SBL105808
204.106.192.0/19 ; SBL106078
204.107.208.0/24 ; SBL96699
204.126.244.0/23 ; SBL96747
204.130.167.0/24 ; SBL113127
204.147.240.0/20 ; SBL109212
204.152.224.0/21 ; SBL73340
204.155.128.0/20 ; SBL156984
204.187.155.0/24 ; SBL93877
204.187.156.0/22 ; SBL93878
204.187.160.0/19 ; SBL93879
204.187.192.0/19 ; SBL93390
204.187.224.0/20 ; SBL93880
204.187.240.0/21 ; SBL93881
204.187.248.0/22 ; SBL93882
204.187.252.0/23 ; SBL93883
204.187.254.0/24 ; SBL93884
204.194.184.0/21 ; SBL95012
204.225.159.0/24 ; SBL113128
204.225.210.0/24 ; SBL113129
204.236.0.0/19 ; SBL46767
204.237.136.0/21 ; SBL173642
204.237.168.0/21 ; SBL173641
204.237.232.0/21 ; SBL173647
204.237.240.0/21 ; SBL173648
205.137.0.0/20 ; SBL116418
205.142.104.0/22 ; SBL98307
205.144.0.0/20 ; SBL96698
205.144.176.0/20 ; SBL116419
205.151.128.0/19 ; SBL180437
205.159.180.0/24 ; SBL113130
205.172.244.0/22 ; SBL96743
205.175.160.0/19 ; SBL104260
205.186.208.0/20 ; SBL163288
205.189.71.0/24 ; SBL105802
205.189.72.0/23 ; SBL105804
205.203.0.0/19 ; SBL104616
205.203.224.0/19 ; SBL104251
205.214.128.0/19 ; SBL104253
205.233.224.0/20 ; SBL156985
205.236.189.0/24 ; SBL9442
206.81.0.0/19 ; SBL103439
206.123.128.0/19 ; SBL173649
206.127.192.0/19 ; SBL182423
206.195.224.0/19 ; SBL180439
206.197.28.0/24 ; SBL14253
206.197.29.0/24 ; SBL14251
206.201.48.0/20 ; SBL97028
206.203.64.0/18 ; SBL103686
206.209.80.0/20 ; SBL156986
206.210.32.0/19 ; SBL180440
206.224.160.0/19 ; SBL96697
206.226.0.0/19 ; SBL177387
206.226.32.0/19 ; SBL177459
206.227.64.0/18 ; SBL96696
207.22.192.0/18 ; SBL107317
207.32.128.0/19 ; SBL156988
207.45.224.0/20 ; SBL89255
207.110.64.0/19 ; SBL177484
207.110.96.0/19 ; SBL177485
207.110.128.0/18 ; SBL177686
207.183.192.0/19 ; SBL104254
207.189.0.0/19 ; SBL90975
207.226.192.0/20 ; SBL189463
207.230.96.0/19 ; SBL182424
207.234.0.0/17 ; SBL184714
207.254.128.0/21 ; SBL177374
208.70.168.0/21 ; SBL73444
208.81.136.0/21 ; SBL61909
208.90.0.0/21 ; SBL83016
208.93.96.0/21 ; SBL73446
208.117.80.0/20 ; SBL104409
209.51.32.0/20 ; SBL106609
209.66.128.0/19 ; SBL180438
209.95.192.0/19 ; SBL107139
209.145.0.0/19 ; SBL109583
209.182.64.0/19 ; SBL104261
209.198.176.0/20 ; SBL106610
213.109.96.0/22 ; SBL80829
213.109.208.0/20 ; SBL81091
216.30.144.0/20 ; SBL182425
216.151.192.0/20 ; SBL99327
216.162.112.0/20 ; SBL173634
216.212.192.0/19 ; SBL90976
